,payload,features,purpose,specs_hands,batteryLife,ipRating,ageGroup,category,maxRuntime,model,interactionType,hands,image,specs_batteryLife,terrain,size,website,specs_weight,manufacturer,speed,connectivity,learningFocus,price,weight,specs_price,video
,,,,,3 hours,,,vacuum,180 min,S8 MaxV Ultra,,"Vacuum and mop, auto-empty, self-washing, AI obstacle avoidance",images/vacuum/roborock-s8-maxv-ultra.webp,,,,https://us.roborock.com/,,Roborock,,,,1800 USD,4.2 kg,,
,,,,,3.5 hours,,,vacuum,210 min,X40 Ultra,,"Vacuum and mop, auto-empty, extendable mop, AI navigation",images/vacuum/dreame-x40-ultra-2.webp,,,,https://www.dreame.tech/,,Dreame,,,,1900 USD,4.5 kg,,
,,,,,3 hours,,,vacuum,180 min,Deebot T30 Omni,,"Vacuum and mop, auto-empty, hot water mop washing",images/vacuum/ecovacs-deebot-t30-omni.webp,,,,https://www.ecovacs.com/,,Ecovacs,,,,1100 USD,4 kg,,
,,,,,3 hours,,,vacuum,180 min,Freo X Ultra,,"Vacuum and mop, self-cleaning, compression tech, AI navigation",images/vacuum/narwal-freo-x-ultra.webp,,,,https://narwal.com/,,Narwal,,,,1400 USD,4.8 kg,,
,,"Smart mapping, auto-empty, edge cleaning",Vacuum cleaning,,120 min,,All ages,vacuum,120 min,Roomba s9+,App control,None,images/image-not-found.webp,,,Small,https://www.irobot.com/,,iRobot,,Wi-Fi,Home cleaning,~1100 USD,~4 kg,,
,,"Auto mop washing, obstacle avoidance",Vacuum and mop,,180 min,,All ages,vacuum,180 min,Q Revo,App control,None,images/vacuum/roborock-q-revo.webp,,,Small,https://www.roborock.com/,,Roborock,,Wi-Fi,Home cleaning,~900 USD,~4.5 kg,,
,,"Slim design, quiet operation",Vacuum cleaning,,100 min,,All ages,vacuum,100 min,RoboVac 11S,Remote control,None,images/vacuum/eufy-robovac-11s.webp,,,Small,https://www.eufy.com/,,Eufy,,None,Home cleaning,~230 USD,~2.7 kg,,https://www.youtube.com/embed/wRokyHrxUoI
,,"Self-empty, home mapping",Vacuum cleaning,,90 min,,All ages,vacuum,90 min,IQ Robot,App control,None,images/vacuum/shark-iq-robot-2.webp,,,Small,https://www.sharkclean.com/,,Shark,,Wi-Fi,Home cleaning,~450 USD,~3 kg,,
,,"Vacuum and mop, dual spinning mop pads",,,~1.5 hours,,,vacuum,,SpinWave Robot,,,images/image-not-found.webp,,,,https://www.bissell.com/,,Bissell,,,,~400 USD,~3.5 kg,,
,,"Vacuum and mop, LIDAR navigation, app control",,,~2 hours,,,vacuum,,A11,,,images/vacuum/ilife-a11.webp,,,,https://www.iliferobot.com/,,iLife,,,,~400 USD,~2.9 kg,,
,,"Vacuum and mop, gyroptic navigation, app control",,,~2.5 hours,,,vacuum,,Cybovac E31,,,images/vacuum/kyvol-cybovac-e31.webp,,,,https://kyvol.com/,,Kyvol,,,,~300 USD,~3 kg,,
,,"Vacuum, FreeMove technology, remote control",,,~2 hours,,,vacuum,,M1,,,images/image-not-found.webp,,,,https://www.lefantofficial.com/,,Lefant,,,,~300 USD,~2.8 kg,,
,,"Vacuum and mop, AI navigation, auto-empty",,,~2 hours,,,vacuum,,CordZero R9,,,images/vacuum/lg-cordzero-r9.webp,,,,https://www.lg.com/,,LG,,,,"~1,200 USD",~4 kg,,https://www.youtube.com/embed/itr1iWlBjP0
,,"Vacuum and mop, self-emptying, app control",,,~2.5 hours,,,vacuum,,R1,,,images/vacuum/lydsto-r1.webp,,,,https://www.lydsto.com/,,Lydsto,,,,~500 USD,~3.3 kg,,
,,"Vacuum and mop, self-emptying, AI navigation, edge cleaning",,,3 hours,,,vacuum,,NoMo Q11,,,images/image-not-found.webp,,,,https://www.neobotshop.com/,,Neobot,,,,550 USD,3.8 kg,,
,,"Vacuum and mop, laser navigation, app control",,,~2.5 hours,,,vacuum,,M9,,,images/vacuum/proscenic-m9.webp,,,,https://www.proscenic.com/,,Proscenic,,,,~500 USD,~3.6 kg,,
,,"Vacuum, object recognition, self-emptying",,,~1.5 hours,,,vacuum,,Jet Bot AI+,,,images/vacuum/samsung-jet-bot-ai.webp,,,,https://www.samsung.com/,,Samsung,,,,"~1,300 USD",~4.4 kg,,
,,"Vacuum and mop, auto-refill water station, RinseSync mopping",,,4 hours,,,vacuum,,S10,,,images/vacuum/switchbot-s10.webp,,,,https://www.switch-bot.com/,,SwitchBot,,,,1600 USD,4.5 kg,,
,,"Vacuum and mop, self-emptying, voice control",,,~2.5 hours,,,vacuum,,T10,,,images/vacuum/ultenic-t10.webp,,,,https://www.ultenic.com/,,Ultenic,,,,~600 USD,~3.8 kg,,
,,"Vacuum and mop, laser navigation, app control",,,~3 hours,,,vacuum,,V3 Max,,,images/image-not-found.webp,,,,https://www.viomi.com/,,Viomi,,,,~500 USD,~3.6 kg,,
,,"Suction: 2200pa, Navigation: LIDAR Navigation, Adaptive Cleaning Power",,,~2 hours,,,vacuum,,Kobold VR7,,,images/vacuum/koboldvr7.webp,,,,https://www.vorwerk.com/de/de/c/home/produkte/kobold/kobold-vr7-saugroboter,,Vorwerk,,,,1249 EUR,,,https://www.youtube.com/embed/7L_QfqygtRM
,,"Vacuum, LIDAR navigation, app control",,,~2 hours,,,vacuum,,Robot Vacuum,,,images/vacuum/wyze-robot-vacuum.webp,,,,https://www.wyze.com/,,Wyze,,,,~250 USD,~3.1 kg,,
,,"Vacuum and mop, auto-empty, 3D mapping",,,~3 hours,,,vacuum,,Robot Vacuum X10+,,,images/vacuum/xiaomi-robot-vacuum-x10.webp,,,,https://www.mi.com/,,Xiaomi,,,,~800 USD,~4.2 kg,,
,,"Vacuum and mop, auto-empty, AI navigation",,,~3 hours,,,,,L20 Ultra,,,images/image-not-found.webp,,,,https://www.dreame.tech/,,Dreame,,,,"~1,500 USD",~4 kg,,
,,"Vacuum, HEPA filtration, 360° vision",,,~2 hours,,,,,360 Vis Nav,,,images/image-not-found.webp,,,,https://www.dyson.com/,,Dyson,,,,"~1,200 USD",~2.6 kg,,
,,"Vacuum and mop, auto-empty, AI obstacle avoidance",,,~4 hours,,,,,Deebot X2 Omni,,,images/image-not-found.webp,,,,https://www.ecovacs.com/,,Ecovacs,,,,"~1,500 USD",~4.5 kg,,
,,"Vacuum, twin-turbine technology, AI obstacle avoidance",,,~2.5 hours,,,,,X8 Pro,,,images/image-not-found.webp,,,,https://us.eufy.com/,,Eufy,,,,~650 USD,~3.5 kg,,
,,"Vacuum and mop, auto-empty, obstacle avoidance",,,~2 hours,,,,,Roomba Combo j9+,,,images/image-not-found.webp,,,,https://www.irobot.com/,,iRobot,,,,"~1,400 USD",~3.5 kg,,
,,"Vacuum, 3D smart navigation, remote control",,,~2 hours,,,,,Scout RX3,,,images/image-not-found.webp,,,,https://www.miele.com/,,Miele,,,,~800 USD,~2.8 kg,,
,,"Vacuum and mop, self-cleaning, AI navigation",,,~3 hours,,,,,Freo,,,images/image-not-found.webp,,,,https://narwal.com/,,Narwal,,,,"~1,200 USD",~4.5 kg,,
,,"Vacuum, LIDAR navigation, zone cleaning",,,~2.5 hours,,,,,D10,,,images/image-not-found.webp,,,,https://www.neatorobotics.com/,,Neato,,,,~800 USD,~3.7 kg,,
,,"Vacuum and mop, auto-empty, self-cleaning",,,~3 hours,,,,,S8 Pro Ultra,,,images/image-not-found.webp,,,,https://us.roborock.com/,,Roborock,,,,"~1,600 USD",~4 kg,,
,,"Vacuum, bagless self-empty, HEPA filtration",,,~2 hours,,,,,AI Ultra,,,images/image-not-found.webp,,,,https://www.sharkclean.com/,,Shark,,,,~600 USD,~5.9 kg,,
,,"Vacuum, home security, pet monitoring",,,~2 hours,,,,,Lucy,,,images/image-not-found.webp,,,,https://www.trifo.com/,,Trifo,,,,~500 USD,~3.5 kg,,
,,"Vacuum and mop, auto-empty, self-cleaning mop",,,~2.5 hours,,,,,Cube,,,images/vacuum/yeedi-cube.webp,,,,https://www.yeedi.com/,,Yeedi,,,,~700 USD,~3.2 kg,,
