category,manufacturer,model,price,weight,batteryLife,hands,website,image,ipRating,maxRuntime,payload,speed,terrain,purpose,size,features,ageGroup,interactionType,learningFocus,connectivity,video
humanoid,Westwood Robotics,THEMIS V2,69800 USD,32 kg,2-3 hours,,https://www.westwoodrobotics.io/,images/humanoid/westwood-robotics-themis-v2.webp,,,15 kg,,,,,,,,,,https://www.youtube.com/embed/8hAt3ILlJrk
humanoid,Kepler Robotics,Kepler K2,200000 USD,85 kg,4-6 hours,,https://www.gotokepler.com/home,images/image-not-found.webp,,,,,,,178 cm,,,,,,https://www.youtube.com/embed/iWC8rSjDywU
entertainment,Anki,Vector,~250 USD,~0.2 kg,~45 min,None,https://www.digitaldreamlabs.com/,images/entertainment/vector2.webp,,45 min,,,,Desktop companion,Very small,"Voice assistant, games, expressions",All ages,"Voice, touch, proximity",Basic AI interaction,Wi-Fi,https://www.youtube.com/embed/Qy2Z2TWAt6A
entertainment,Sphero,BB-8,~130 USD,~0.2 kg,~1 hour,None,https://sphero.com/,images/entertainment/sphero-bb-8.webp,,60 min,,,,"Toy, entertainment",Very small,"App-controlled movement, light effects",Children,App control,"Play, basic programming",Bluetooth,
educational,Makeblock,mBot,~100 USD,~0.5 kg,~3 hours,None,https://www.makeblock.com/,images/image-not-found.webp,,180 min,,,,"Educational, DIY",Small,"Programmable, sensors, modular",8+,"Programming, building","Coding, electronics",Bluetooth,
educational,Modular Robotics,Cubelets,~330 USD,~0.8 kg,~2 hours,None,https://www.modrobotics.com/,images/educational/modular-robotics-cubelets.webp,,120 min,,,,"Educational, modular",Small,"Magnetic blocks, no programming required",4+,"Building, experimentation","Logic, systems thinking",Bluetooth,
educational,Wonder Workshop,Dash,~150 USD,~0.9 kg,~5 hours,None,https://www.makewonder.com/,images/educational/wonder-workshop-dash.webp,,300 min,,,,Educational,Small,"Voice recognition, sensors, programmable",6-12,"App programming, voice","Coding, problem-solving",Bluetooth,
entertainment,Wowwee,Chip,~200 USD,~1 kg,~2 hours,None,https://wowwee.com/,images/entertainment/wowwee-chip.webp,,120 min,,,,Robotic pet,Small,"Voice commands, games, tricks",Children,"Voice, touch, remote","Play, pet interaction",Bluetooth,
educational,LEGO,Mindstorms EV3,~350 USD,~1 kg,~4 hours,Programmable attachments,https://www.lego.com/,images/image-not-found.webp,,240 min,,,,"Educational, programming",Medium,"Programmable, modular design",8+,"Programming, building","Robotics, coding, engineering",Bluetooth,
educational,Robotis,Darwin-Mini,~500 USD,~1.5 kg,~1 hour,Basic grippers,https://www.robotis.com/,images/educational/robotis-darwin-mini.webp,,60 min,,,,"Educational, humanoid",Small,"Programmable, walking, dancing",12+,"Programming, remote control","Robotics, motion control",Bluetooth,
table,ASUS,Zenbo,~600 USD,~10 kg,~5 hours,None,https://www.asus.com/,images/table/asus-zenbo.webp,,300 min,,,,"Home assistant, entertainment",Small,"Voice control, facial recognition, home automation",All ages,"Voice, touch screen","Language, general knowledge",Wi-Fi,
robodog,Unitree,Go1,~2700 USD,~12 kg,~1.5 hours,,https://www.unitree.com/,images/robodog/unitree-go1.webp,IP54,90 min,3 kg,3.5 m/s,"Basic terrain, stairs",Consumer & research,Small,,,,, ,
table,Temi,Temi Robot,~2000 USD,~12 kg,~8 hours,None,https://www.robotemi.com/,images/table/temi-temi-robot.webp,,480 min,,,,"Personal assistant, telepresence",Medium,"Video calls, autonomous navigation, voice control",All ages,"Voice, touch screen",Communication,Wi-Fi,
table,Keecker,Home Pod,~1500 USD,~12 kg,~6 hours,None,https://www.keecker.com/,images/image-not-found.webp,,360 min,,,,"Entertainment, home monitoring",Medium,"Projector, 360° camera, audio system",All ages,"Voice, app control","Entertainment, home security",Wi-Fi,
robodog,Xiaomi,Cyberdog,~1300 USD,~14 kg,~2.5 hours,,https://www.mi.com/global/,images/robodog/xiaomi-cyberdog.webp,-,150 min,3 kg,3.2 m/s,"Basic terrain, stairs",Consumer & research,Small,,,,, ,
entertainment,Sony,Aibo,~2900 USD,~2.2 kg,~2 hours,None,https://us.aibo.com/,images/entertainment/sony-aibo.webp,,120 min,,,,Robotic pet,Small,"Learning behavior, emotional responses, recognition",All ages,"Touch, voice, visual",Pet companionship,Wi-Fi,https://www.youtube.com/embed/5ifwGc-0mAY
entertainment,Elephant Robotics,MarsCat,~1300 USD,~2.5 kg,~3 hours,None,https://www.elephantrobotics.com/,images/entertainment/marscat.webp,,180 min,,,,"Robotic pet, development",Small,"Autonomous behavior, programmable",All ages,"Touch, visual, programming","Pet companionship, coding",Wi-Fi,
robodog,Unitree,A1,~10000 USD,~20 kg,~2 hours,,https://www.unitree.com/,images/robodog/unitree-a1.webp,IP54,120 min,5 kg,3.3 m/s,"Basic terrain, stairs",Research,Small,,,,, ,
robodog,Boston Dynamics,Spot,~75000 USD,~32 kg,~90 min,,https://www.bostondynamics.com/,images/robodog/boston-dynamics-spot.webp,IP54,90 min,14 kg,1.6 m/s,"All terrain, stairs",Industrial inspection,Medium,,,,, ,
humanoid,Agility Robotics,Digit,45000 USD,~40 kg,~3 hours,None (designed for legs only),https://www.agilityrobotics.com/,images/humanoid/digit.webp,,,,,,,,,,,,,https://www.youtube.com/embed/rnFZAB9ogEE
robodog,Deep Robotics,Jueying,On request,~40 kg,~2 hours,,https://www.deeprobotics.cn/,images/robodog/deep-robotics-jueying.webp,IP66,120 min,20 kg,3.0 m/s,"All terrain, stairs",Research & industrial,Medium,,,,, ,
