category,manufacturer,model,price,weight,size,batteryLife,maxRuntime,tags,handType,dof,payload,speed,terrain,ipRating,ageRange,website,image,video,gallery,description,releaseDate
companion,Temi,Temi Robot,~2000 USD,~12 kg,medium,~8 hours,480 min,autonomous-nav;home-assistant;personal-assistant;telepresence;touch-control;voice-control;wifi,none,,,,,,0-99,https://www.robotemi.com/,images/table/temi-temi-robot.webp,,,"Video calls, autonomous navigation, voice control",2018
companion,Hugging Face,Reachy Mini,299 USD,1.5 kg,small,Battery (wireless version),,ai-powered;companion;monitoring;programmable;voice-control;wifi,none,,,,,,0-99,https://huggingface.co/blog/reachy-mini,images/table/hugging-face-reachy-mini.webp,,,"160-degree camera, dual mics, speaker, open source, Python SDK, 15+ demos",2025
companion,Energize Lab,Eilik,149 USD,~0.2 kg,very-small,90 min,90 min,companion;emotion-recognition;touch-control;usb,none,,,,,,0-99,https://eilik.co/,images/table/energize-lab-eilik.webp,,,"Emotional responses, touch-reactive (head/belly/back), multi-Eilik interaction",2021
companion,KEYi Robot,Loona,500 USD,1.1 kg,small,2-4 hours,240 min,ai-powered;companion;gesture-control;monitoring;pet;self-charging;touch-control;voice-control;wifi,none,,,,,,0-99,https://us.keyirobot.com/products/loona,images/table/keyi-robot-loona.webp,,,"ChatGPT-4o, 720P camera, 3D ToF sensor, 4-mic array, gesture recognition, AR games, auto-charging",2022
companion,Anki,Vector,~250 USD,~0.2 kg,very-small,~45 min,45 min,ai-powered;companion;touch-control;voice-control;wifi,none,,,,,,0-99,https://www.digitaldreamlabs.com/,images/entertainment/vector2.webp,https://www.youtube.com/embed/Qy2Z2TWAt6A,,"Voice assistant, games, expressions",2018
companion,Sphero,BB-8,~130 USD,~0.2 kg,very-small,~1 hour,60 min,ai-powered;app-control;bluetooth;entertainment;programmable;toy,none,,,,,,4-12,https://sphero.com/,images/entertainment/sphero-bb-8.webp,,,"App-controlled movement, light effects",2015
companion,Hasbro,Furby Connect,~100 USD (discontinued),~0.8 kg,very-small,~4 hours,240 min,app-control;bluetooth;entertainment;toy;voice-control,none,,,,,,4-12,https://www.hasbro.com/,images/entertainment/hasbro-furby-connect.webp,,,"Voice interaction, app connectivity",2016
companion,WowWee,MiP,~100 USD,~1 kg,small,~1 hour,60 min,app-control;bluetooth;entertainment;gesture-control;self-balancing;toy,tray,,,,,,4-12,https://wowwee.com/,images/entertainment/wowwee-mip.webp,,,"Self-balancing, gesture control, games",2014
companion,Groove X,Lovot,2700 USD,4.3 kg,small,45 min per charge,45 min,companion;emotion-recognition;facial-recognition;monitoring;touch-control;voice-control;wifi,none,,,,,,0-99,https://groove-x.com/,images/entertainment/groove-x-lovot.webp,,,"Emotion recognition, touch sensors, 50+ emotional states, thermal camera, facial recognition",2018
companion,Vanguard Industries,Moflin,429 USD,~0.8 kg,very-small,5 hours,300 min,ai-powered;app-control;bluetooth;companion;emotion-recognition;pet;touch-control,none,,,,,,0-99,https://www.casio.com/us/moflin/,images/entertainment/vanguard-industries-moflin.webp,,,"AI personality development, touch/sound/gyro/temperature sensors, MofLife app",2020
companion,Yukai Engineering,Qoobo,~120 USD,1 kg,small,~2 hours,120 min,ai-powered;therapeutic;touch-control,none,,,,,,0-99,https://qoobo.info/,images/entertainment/yukai-engineering-qoobo.webp,,,"Tail-wagging response to touch, therapeutic design, 3 colors available",2018
companion,Intelligent System,Paro,6000 USD,2.5 kg,small,3-5 hours,300 min,therapeutic;touch-control;voice-control,none,7,,,,,0-99,http://www.parorobots.com/,images/entertainment/intelligent-system-paro.webp,,,"7 DOF, 12 tactile sensors, dual 32-bit processors, 3 microphones, FDA Class 2 medical device",2004
companion,Panasonic,Nicobo,545 USD,~1.2 kg,small,2-3 hours,180 min,ai-powered;companion;monitoring;touch-control;voice-control;wifi,none,,,,,,0-99,https://www.panasonic.com/,images/entertainment/panasonic-nicobo.webp,https://www.youtube.com/embed/7sqm3kbzSuA,,"Voice recognition, camera, personality development, tail wagging, ARM Cortex-A53",2021
companion,Ogmen Robotics,ORo,599 USD,15 kg,40x30x76 cm,5 hours,,app-control;companion;consumer;pet,none,,,,,,,https://orobuddy.com/,images/companion/ogmen-robotics-oro.webp,,,"Pet companion robot, mobile app control, interactive pet engagement",2024
companion,Ropet,Ropet,299 USD,0.6 kg,small,2 hours,120 min,consumer;companion;pet;ai-powered;emotional-support;emotion-recognition;facial-recognition;wifi,,,,,,,,https://ropetai.com/,images/companion/ropet-ropet.webp,,,"Furry AI desk pet; camera+screen eyes, face/emotion/gesture recognition, ChatGPT voice, 2h battery",2025
companion,Yukai Engineering,Nékojita FuFu,25 USD,,small,60 min,,consumer;toy;kitchen;entertainment,,,,,,,,https://globalstore.ux-xu.com/products/nekojita-fufu,images/companion/yukai-engineering-nekojita-fufu.webp,,,"Clip-on cat mini robot that blows air to cool hot food/drinks; Fu-ing algorithm, USB-C rechargeable",2025
companion,Yukai Engineering,Mirumi,~118 USD,0.16 kg,small,8 hours,,consumer;companion;toy;entertainment;social,,,,,,,,https://www.yukai.co.jp/en/,images/companion/yukai-engineering-mirumi.webp,,,"Furry bag-charm robot that shyly peeks at passersby; motion/proximity sensors, head-swivel reactions",2025
companion,Mixi,Romi (Lacatan),~630 USD + subscription,,small,180 min,,consumer;companion;ai-powered;emotional-support;social;voice-control;wifi,,,,,,,,https://romi.ai/lp/lacatan/en/,images/companion/mixi-romi-lacatan.webp,,,"Palm-size conversational AI robot; real-time interjecting chat in JP/EN, camera scene talk, CES 2025 honoree",2025
companion,LivingAI,AIBI Pocket,249 USD,,small,90 min,,consumer;companion;pet;ai-powered;facial-recognition;voice-control;wifi;toy,,,,,,,,https://living.ai/aibi/,images/companion/livingai-aibi-pocket.webp,,,"Pocket AI pet; rotating camera, 3-mic array, mmWave radar, face/voice recognition, ChatGPT, NFC",2025
companion,Limitbit,Doly,~299 USD,,small,4 hours,,consumer;companion;educational;programmable;ai-powered;dev-platform;facial-recognition;obstacle-avoidance,,,,,,,,https://doly.ai/,images/companion/limitbit-doly.webp,,,"Raspberry Pi CM4 tracked desk robot; 8MP camera, on-device ML, face/gesture recognition, open hardware",2024
companion,Ortomi,Companion Gen 4,~55 USD,0.04 kg,small,15-20 hours,1200 min,consumer;companion;toy;emotional-support;touch-control,,,,,,,,https://ortomi.com/product/gen4/,images/companion/ortomi-companion-gen-4.webp,,,"40g pocket cube pet; 7 moods, 40+ expressions, reacts to touch/shake, custom faces via Ortomi Workshop",2023
companion,TangibleFuture,LOOI,~159 USD,0.385 kg,small,5 hours,300 min,ai-powered;app-control;companion;consumer;entertainment;gesture-control;programmable;toy,,,,,,,,https://looirobot.com/products/looi-robot,images/companion/tangiblefuture-looi.webp,https://www.youtube.com/watch?v=X3ZHww3fAys,,"Turns smartphone into desk robot; ChatGPT, face/gesture tracking, cliff sensors, 15W wireless charging",2024
companion,TCL,Ai Me,Prototype,,small,,,prototype;companion;ai-powered;emotion-recognition;home-assistant,,,,,,,,https://www.tcl.com/global/en/tcl-design/design-works/tcl-ai-me-design-story,images/companion/tcl-ai-me.webp,,,"Modular owl-like AI companion concept; swappable cores/bases, emotion recognition, Matter smart-home control",2025
companion,Tombot,Jennie,~1500 USD,,small,,,consumer;companion;therapeutic;emotional-support;pet;touch-control,,,,,,,,https://tombot.com/,images/companion/tombot-jennie.webp,,,"Hyper-realistic robotic Labrador puppy for seniors and dementia care; touch sensors, voice commands",2025
companion,Intuition Robotics,ElliQ 3,Subscription from ~30 USD/month,,small,,,consumer;companion;emotional-support;ai-powered;voice-control;personal-assistant;therapeutic,,,,,,,,https://www.intuitionrobotics.com/,images/companion/intuition-robotics-elliq-3.webp,,,"Eldercare AI companion; LLM conversations, proactive wellness check-ins, 2x compute, 36% smaller footprint",2024
companion,Haivivi,BubblePal,~89 USD,,small,4 hours,240 min,consumer;toy;companion;ai-powered;voice-control;educational,,,,,,,3-12,https://www.haivivi.com/en/product,images/companion/haivivi-bubblepal.webp,,,"Bubble-shaped AI toy that clips onto plush toys; LLM chat, long-term memory, multilingual, 4h battery",2024
companion,Sharp,Poketomo,~270 USD + subscription,0.2 kg,small,,,consumer;companion;ai-powered;voice-control;wifi;bluetooth;social,,,,,,,,https://global.sharp/corporate/news/250820-a.html,images/companion/sharp-poketomo.webp,,,"12 cm meerkat AI buddy; OpenAI-powered chat, 5MP camera photo diary, Wi-Fi/BT 5.0, 200 g",2025
companion,Robopoet,Fuzozo,~57 USD,,small,,,consumer;companion;toy;emotional-support;ai-powered;app-control,,,,,,,,https://www.fuzozo.net/,images/companion/robopoet-fuzozo.webp,,,"Wearable furry AI companion charm, five-element personalities, multimodal emotion interaction, 120k+ sold",2026
companion,Torooc,Liku,Not disclosed,,small,,,companion;ai-powered;educational;consumer;emotion-recognition,,14,,,,,4+,https://www.torooc.com/,images/companion/torooc-liku.webp,,,Bipedal social companion robot recognizing emotions for kids and senior care.,2019
companion,Hyodol,Hyodol,Not disclosed,,small,,,companion;ai-powered;elderly-care;consumer;health-monitoring,,,,,,,65+,https://www.hyodol.com/,images/companion/hyodol-hyodol.webp,,,"ChatGPT-powered AI care doll for elderly, with sensors and medication reminders.",2019
companion,Robocare,Silbot 3,Not disclosed,,small,,,companion;ai-powered;elderly-care;dementia-prevention;educational;commercial,,,,,,,65+,https://www.robocare.co.kr/eng/sub_robot/silbot.php,images/companion/robocare-silbot-3.webp,,,Tabletop care robot for senior cognitive training and dementia prevention.,2014
companion,DST Robot,Genibo SD,~1211 USD,1.5 kg,small,,,companion;pet;consumer;ai-powered;programmable,,,,,,,,https://tribotix.com/product/genibo-sd/,images/companion/dst-robot-genibo-sd.webp,,,Bull-terrier-shaped robotic pet dog with voice commands and touch sensors.,2011
companion,Vstone,Sota,~830 USD,0.763 kg,28x14x16 cm,,,companion;communication;commercial;ai-powered;consumer,none,8,,,,,,https://www.vstone.co.jp/products/sota/,images/companion/vstone-sota.webp,,,"Tabletop social-talker robot with camera, mic and LED eyes for conversation.",2015
