,payload,features,purpose,specs_hands,batteryLife,ipRating,ageGroup,category,maxRuntime,model,interactionType,hands,image,specs_batteryLife,terrain,size,website,specs_weight,manufacturer,speed,connectivity,learningFocus,price,weight,specs_price,video
,,,,,1.75 hours,,,household,105 min,Roomba j7+,,"Smart mapping, obstacle avoidance, auto-empty",images/image-not-found.webp,,,,https://www.irobot.com/,,iRobot,,,,800 USD,3.4 kg,,
,,,,,2 hours,,,household,120 min,Bespoke Jet Bot Combo,,"Vacuum and mop, AI navigation, self-emptying",images/household/samsung-bespoke-jet-bot-combo.webp,,,,https://www.samsung.com/,,Samsung,,,,1300 USD,4.8 kg,,
,,"Obstacle avoidance, auto-empty",Vacuum and mop,,120 min,,All ages,household,120 min,Roomba Combo j7+,App control,None,images/image-not-found.webp,,,Small,https://www.irobot.com/,,iRobot,,Wi-Fi,Home cleaning,~1000 USD,~3.4 kg,,
,,"AIVI 3D, voice assistant, auto-empty",Vacuum and mop,,260 min,,All ages,household,260 min,Deebot X1 Omni,"Voice, app control",None,images/household/ecovacs-deebot-x1-omni.webp,,,Small,https://www.ecovacs.com/,,Ecovacs,,Wi-Fi,Home cleaning,~1500 USD,~4.6 kg,,
,,Autonomous indoor drone camera,Home security,,~5 min,,All ages,household,5 min,Ring Always Home Cam,App control,None,images/household/amazon-ring-always-home-cam.webp,,,Very small,https://ring.com/,,Amazon,,Wi-Fi,Home security,~250 USD,~0.5 kg,,
,,"Auto-charging, night vision, pet interaction","Home monitoring, pet companion",,~2 hours,,All ages,household,120 min,EBO SE,App control,None,images/household/enabot-ebo-se.webp,,,Small,https://www.enabot.com/,,Enabot,,Wi-Fi,Home monitoring,~300 USD,~1 kg,,https://www.youtube.com/embed/cyzh48XRS4M
,,"AI assistant, home monitoring, projector",,,~5 hours,,,household,,Ballie,,,images/household/samsung-ballie.webp,,,,https://www.samsung.com/,,Samsung,,,,~500 USD (estimated),~1 kg,,
,,"Dual-arm manipulation, disinfection, delivery",,,~8 hours,,,household,,Aeo,,,images/household/aeolus-robotics-aeo.webp,,,,https://aeolusbot.com/,,Aeolus Robotics,,,,"~20,000 USD (estimated)",~65 kg,,
,,"Autonomous tray delivery, height adjustable",,,~6 hours,,,household,,Labrador Retriever,,,images/household/labrador-systems-labrador-retriever.webp,,,,https://www.labradorsystems.com/,,Labrador Systems,,,,"~1,500 USD",~23 kg,,https://www.youtube.com/embed/aTOyXBr9VyU
,,"Cooking automation, food preparation",,,N/A (wall powered),,,household,,Flippy,,,images/household/miso-robotics-flippy.webp,,,,https://misorobotics.com/,,Miso Robotics,,,,"~30,000 USD",~80 kg,,
,,"Robotic kitchen, cooking automation",,,N/A (wall powered),,,household,,Moley Kitchen,,,images/image-not-found.webp,,,,https://moley.com/,,Moley Robotics,,,,"~250,000 USD",N/A (installed),,
,,"Vacuum, home security, pet monitoring",,,~2 hours,,,household,,Lucy,,,images/household/trifo-lucy.webp,,,,https://www.trifo.com/,,Trifo,,,,~500 USD,~3.5 kg,,
,,"Home assistant, entertainment, education",,,~4 hours,,,household,,Zenbo,,,images/household/asus-zenbo.webp,,,,https://zenbo.asus.com/,,Asus,,,,~600 USD,~10 kg,,
,,"Video calls, autonomous navigation, voice assistant",,,~8 hours,,,household,,Temi,,,images/household/temi-temi.webp,,,,https://www.robotemi.com/,,Temi,,,,"~2,000 USD",~12 kg,,
,,"Child development, education, companionship",,,~4 hours,,,household,,Moxie,,,images/household/moxie-robotics-moxie.webp,,,,https://embodied.com/,,Moxie Robotics,,,,"~1,000 USD",~2.5 kg,,
,,"Autonomous garden weeding, weather resistant",,,Solar powered,,,household,,Tertill,,,images/household/tertill-tertill.webp,,,,https://tertill.com/,,Tertill,,,,~350 USD,~2.5 kg,,
,,"Cordless pool cleaning, quad-motor system",,,~3 hours,,,household,,Seagull Pro,,,images/household/aiper-seagull-pro.webp,,,,https://www.aiper.com/,,Aiper,,,,~900 USD,~10 kg,,https://www.youtube.com/embed/W__zm1a-_oU
,,"Vacuum and mop, auto-empty, AI obstacle avoidance",,,~4 hours,,,household,,Deebot X2 Omni,,,images/household/ecovacs-deebot-x2-omni.webp,,,,https://www.ecovacs.com/,,Ecovacs,,,,"~1,500 USD",~4.5 kg,,
